,Title,Location,Cost,Price per unit,Area,Facing,Status,Floor,Furnished,Free/Attorney,Bathroom,Owner,Posted
10,3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,11th of 26 Floor,Semi Furnished,Freehold,3 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
11,2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"@10,000/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
12,2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.6Cr,"@13,333/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,3 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
13,2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
14,2 BHK Apartment / Flat for Sale,"Govindpuri Main, New Delhi",30Lac,"@3,333/Sq Yd.",900 Sq Yd.,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Asha Kadwal (Owner),Posted: 1 Year ago
15,3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,6th of 26 Floor,Unfurnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
16,3 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.88Cr,"@11,750/Sq Ft.",1600 Sq Ft.,North-East,Ready to Move,12th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
17,2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.49Cr,"@20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,18th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
18,3 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.49Cr,"@20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,5th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
19,2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
20,2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,6th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
21,2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"@11,175/Sq Ft.",1387 Sq Ft.,North-East,Ready to Move,3rd of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 11 Months ago
22,3 BHK Apartment / Flat for Sale,"Delhi Cantonment, New Delhi",1.78Cr,"@11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,8th of 26 Floor,Semi Furnished,Power of Attorney,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
